epoch: 12, nrg_mae: 8.288681030273438 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 8.021557807922363 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 7.718364238739014 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 7.71880578994751 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 7.7036662101745605 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 7.742738723754883 meV/atom, force_mae: 0 meV/AA
epoch: 12, nrg_mae: 7.727900981903076 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 7.727900981903076 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 7.6561689376831055 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 7.530490398406982 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 7.364058494567871 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.913153648376465 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.702295780181885 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.577066421508789 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.544558525085449 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.78553581237793 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.476831436157227 meV/atom, force_mae: 0 meV/AA
epoch: 13, nrg_mae: 6.52631139755249 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.52631139755249 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.543922424316406 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.5355143547058105 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.507842063903809 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.515157222747803 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.495372295379639 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.444482326507568 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.320738792419434 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 6.087756156921387 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 5.832179546356201 meV/atom, force_mae: 0 meV/AA
epoch: 14, nrg_mae: 5.75634241104126 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 5.75634241104126 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 5.666092872619629 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 5.562873363494873 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 5.386936664581299 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 5.251836776733398 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 5.102316379547119 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 4.901444911956787 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 4.7597527503967285 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 4.629437446594238 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 4.557724475860596 meV/atom, force_mae: 0 meV/AA
epoch: 15, nrg_mae: 4.5016326904296875 meV/atom, force_mae: 0 meV/AA
